technique_id,technique_name,tactic,families
T1033,,,Action RAT|Agent Tesla|Agent.btz|Amadey|Aria-body|AuTo Stealer|Azorult|BADHATCH|BISCUIT|BLUELIGHT|BOOKWORM|BabyShark|Backdoor.Oldrea|Bazar|BlackCat|Bonadan|BoomBox|Bumblebee|CHIMNEYSWEEP|Cannon|Cardinal RAT|Caterpillar WebShell|Chaes|Chrommme|Clambling|CreepySnail|Crimson|Cryptoistic|Cuckoo Stealer|DRATzarus|DarkComet|DarkWatchman|Denis|Derusbi|Diavol|DnsSystem|DownPaper|Dyre|EVILNUM|Egregor|Emotet|Epic|Exaramel for Linux|Explosive|FELIXROOT|Felismus|Flagpro|FlawedAmmyy|FunnyDream|Gazer|Gelsemium|Get2|Gold Dragon|Goopy|Grandoreiro|GravityRAT|GrimAgent|HAPPYWORK|HAWKBALL|Havoc|HexEval Loader|HiddenFace|HotCroissant|InvisiMole|InvisibleFerret|IronWind|Ixeshe|JPIN|KONNI|KOPILUWAK|Kazuar|Komplex|Kwampirs|LAMEHUG|LODEINFO|Latrodectus|Linux Rabbit|LiteDuke|LitePower|Lizar|Lokibot|Lucifer|LunarWeb|MacMa|Mafalda|Mango|MarkiRAT|MechaFlounder|Metamorfo|MgBot|Micropsia|Milan|MirageFox|Mis-Type|MoonWind|More_eggs|Mosquito|NDiskMonitor|NGLite|NOKKI|NanHaiShu|Neoichor|Nightdoor|ObliqueRAT|Octopus|OilBooster|Okrum|POWERSTATS|POWRUNER|PUBLOAD|PlugX|PoetRAT|PowerDuke|PowerShower|Prikormka|PureCrypter|PyDCrypt|QUADAGENT|QakBot|RATANKBA|RCSession|RGDoor|ROKRAT|RTM|Raccoon Stealer|Raspberry Robin|Reaver|RedLeaves|RedLine Stealer|Remsec|Revenge RAT|Rifdoor|Rising Sun|RogueRobin|RustyWater|S-Type|SDBbot|SHARPSTATS|SLOTHFULMEDIA|SMOKEDHAM|STARWHALE|SUNBURST|SVCReady|Saint Bot|ServHelper|ShadowPad|SideTwist|Small Sieve|SocGholish|SodaMaster|SombRAT|Spark|SpeakUp|Squirrelwaffle|SslMM|StrifeWater|SynAck|Sys10|SysUpdate|T9000|TONESHELL|TrickBot|Trojan.Karagany|Turian|UPPERCUT|Unknown Logger|VERMIN|Valak|WINDSHIELD|WINERACK|WellMail|WellMess|WinMM|Woody RAT|XAgentOSX|XLoader|XORIndex Loader|Zebrocy|ZxShell|ZxxZ|metaMain|njRAT|yty|zwShell
T1036,,,AppleSeed|BeaverTail|Bisonal|BoomBox|Dacls|DarkGate|DarkTortilla|DarkWatchman|DynoWiper|EnvyScout|Flagpro|FoggyWeb|GlassWorm|Milan|NativeZone|NotPetya|Pony|PowGoop|RCSession|RTM|Raindrop|Ramsay|RedLine Stealer|Ryuk|Saint Bot|SombRAT|StrelaStealer|TrailBlazer|TrickBot|UPSTYLE|WhisperGate|WindTail|XCSSET
T1036.001,,,BADNEWS|Gelsemium|NETWIRE|Regin|SplatCloak|WindTail
T1036.003,,,CozyCar|DarkGate|Kevin|PHASEJAM|StrelaStealer
T1036.004,,,Attor|BOOKWORM|Bazar|Black Basta|Catchamas|ComRAT|Crutch|DCSrv|DEADEYE|DEADWOOD|Egregor|Emotet|Exaramel for Windows|FunnyDream|Fysbis|GoldMax|Green Lambert|Heyoka Backdoor|Hildegard|InnaputRAT|InvisiMole|KONNI|KillDisk|Kwampirs|Machete|Maze|Meteor|Nebulae|Nidiran|NightClub|OSX_OCEANLOTUS.D|Okrum|POWERSTATS|PingPull|PlugX|Qilin|RDAT|RTM|RainyDay|Raspberry Robin|RawPOS|SLOTHFULMEDIA|SUGARDUMP|SVCReady|Seasalt|Shamoon|ShimRat|Spica|StrongPity|SysUpdate|TONESHELL|Tarrask|TinyTurla|Truvasys|Turian|Uroburos|VIRTUALPITA|Volgmer|ZxxZ|build_downer
T1036.005,,,ANDROMEDA|AppleSeed|AshTag|BADNEWS|BLINDINGCAN|BRICKSTORM|BackConfig|Bad Rabbit|Bazar|Bisonal|Black Basta|Bumblebee|Bundlore|CANONSTAGER|CLAIMLOADER|Calisto|Carberp|ChChes|Chaes|Chinoxy|Cuba|Cuckoo Stealer|Cyclops Blink|DRATzarus|DUSTPAN|DanBot|DarkComet|Daserf|Doki|Dtrack|EKANS|Elise|Felismus|FinFisher|FoggyWeb|Fooder|Fysbis|Gelsemium|GoBear|GoldMax|GoldenSpy|Goopy|Grandoreiro|Green Lambert|HTTPBrowser|HermeticWiper|HermeticWizard|HexEval Loader|IceApple|IcedID|InnaputRAT|InvisiMole|Ixeshe|J-magic|KGH_SPY|KOCTOPUS|KONNI|LAMEHUG|Latrodectus|LightNeuron|LookBack|Machete|MagicRAT|MarkiRAT|MechaFlounder|Metamorfo|Mis-Type|Misdat|NETWIRE|NOKKI|Nebulae|NightClub|Ninja|OLDBAIT|OSX/Shlayer|Octopus|OutSteel|OwaAuth|PUBLOAD|PUNCHBUGGY|Penquin|PipeMon|PlugX|PowGoop|PureCrypter|PyDCrypt|Pysa|QUADAGENT|QUIETEXIT|Qilin|RDAT|REvil|Raindrop|RainyDay|Ramsay|Remsec|RotaJakiro|RustyWater|Ryuk|S-Type|SLOTHFULMEDIA|STATICPLUGIN|SUGARDUMP|SUNBURST|SUNSPOT|SUPERNOVA|Saint Bot|SameCoin|Samurai|Shai-Hulud|Shark|Sibot|Skidmap|Small Sieve|SocGholish|SslMM|Starloader|StrelaStealer|StrifeWater|StrongPity|TAINTEDSCRIBE|TEARDROP|TONESHELL|TRANSLATEXT|Tarrask|ThiefQuest|ThreatNeedle|TinyTurla|Troll Stealer|Tsundere Botnet|USBStealer|Ursnif|VIRTUALPITA|Winnti for Windows|XORIndex Loader|ZLib
T1036.006,,,Keydnap
T1036.007,,,Bazar|DarkGate|Milan
T1036.008,,,ANDROMEDA|AvosLocker|HeartCrypt|Kapeka|Lumma Stealer|MagicRAT|OSX_OCEANLOTUS.D|PureCrypter|QakBot|Raspberry Robin|STATICPLUGIN|StrelaStealer
T1036.009,,,BPFDoor|Shai-Hulud
