canonical_name,aliases,classification,description,uuid,source_cluster
FlyTrap,,malware,"Zimperium notes that this malware has hit more than 10,000 victims in 140+ countries using social media hijacking, 3rd party app stores and sideloading. ",24af5bcc-d4bd-42dd-aed4-f994b30b4921,malpedia.json
FunkyBot,,malware,,bc0d37fa-113a-45ba-8a1c-b9d818e31f27,malpedia.json
FurBall,,malware,"According to Check Point, they uncovered an operation dubbed ""Domestic Kitten"", which uses malicious Android applications to steal sensitive personal information from its victims: screenshots, messages, call logs, surrounding voice recordings, and more. This operation managed to remain under the radar for a long time, as the associated files were not attributed to a known malware family and were only detected by a handful of security vendors.",53282cc8-fefc-47d7-b6a5-a82a05a88f2a,malpedia.json
Gaganode (Android),,malware,"According to Synthient, Gaganode is a decentralized bandwidth monetization service that enables both users and publishers to earn crypto for their bandwidth or monetize other people's bandwidth. The SDK intentionally implements RCE, thus aligning Gaganode more closely with malware than standard commercial SDKs.",1034e0e2-0643-40e3-b25e-32f541e9d3c1,malpedia.json
Geost,,malware,,b9639878-733c-4f30-9a13-4680a7e17415,malpedia.json
Ghimob,,malware,,3d1f2591-05fe-42f4-aaf8-ed1428f17605,malpedia.json
GhostCtrl,,malware,,3b6c1771-6d20-4177-8be0-12116e254bf5,malpedia.json
GhostChat,,malware,"According to ESET Research, GhostChat is a malicious Android app (package name com.datingbatch.chatapp) disguised to appear a legitimate chat platform called Dating Apps without payment; this legitimate app is available on Google Play and is unrelated to GhostChat other than through the latter using its icon. Ghostchat’s source and mode of distribution remain unknown.",1810d84c-c167-4fc7-b12a-363b6b005030,malpedia.json
Gigabud,,malware,"Gigabud is the name of an Android Remote Access Trojan (RAT) Android that can record the victim's screen and steal banking credentials by abusing the Accessibility Service. Gigabud masquerades as banking, shopping, and other applications. Threat actors have been observed using deceptive websites to distribute Gigabud RAT.",8f188382-7a31-46a5-83c6-5991dfe739ee,malpedia.json
Ginp,,malware,"Ginp is a mobile banking software targeting Android devices that was discovered by Kaspersky. The malware is able to steal both user credentials and credit cards numbers by implementing overlay attacks. For this, overlay targets are for example the default SMS application. What makes Ginp a remarkable family is how its operators managed to have it remain undetected over time even and it receiving version upgrades over many years. According to ThreatFabric, Ginp has the following features:

Ove",77e9ace0-f6e5-4d6e-965a-a653ff626be1,malpedia.json
GlanceLove,,malware,,24a709ef-c2e4-45ca-90b6-dfa184472f49,malpedia.json
GnatSpy,,malware,,a3b6a355-3afe-49ae-9f87-679c6c382943,malpedia.json
GoatRAT,,malware,,f699d295-1072-418b-8aa2-cb36fbd4c6c7,malpedia.json
Godfather,,malware,"According to PCrisk, Godfather is the name of an Android malware targeting online banking pages and cryptocurrency exchanges in 16 countries. It opens fake login windows over legitimate applications. Threat actors use Godfather to steal account credentials. Additionally, Godfather can steal SMSs, device information, and other data.",8e95a9d5-08fb-4f11-b70a-622148bd1e62,malpedia.json
GoldenEagle,,malware,,b7c0c11d-8471-4b10-bbf2-f9c0f30bc27e,malpedia.json
GoldenRAT,,malware,,e111fff8-c73c-4069-b804-2d3732653481,malpedia.json
GoldDigger,,malware,,8ff9cde1-627e-4967-8b12-195544f31d83,malpedia.json
goontact,,malware,,008ef3f3-579e-4065-ad0a-cf96be00becf,malpedia.json
GPlayed,,malware,"Cisco Talos identifies GPlayed as a malware written in .NET using the Xamarin environment for mobile applications. It is considered powerful because of its capability to adapt after its deployment. In order to achieve this adaptability, the operator has the capability to remotely load plugins, inject scripts and even compile new .NET code that can be executed. ",13dc1ec7-aba7-4553-b990-8323405a1d32,malpedia.json
Gravity RAT (Android),,malware,,fed09d31-6378-4e85-b644-5500491dff88,malpedia.json
GriftHorse,,malware,,fe40a0b2-be48-41c5-8814-7fa3a6a993b9,malpedia.json
Guerrilla,,malware,,57de6ac2-8cf0-4022-aee2-5f76e3dbd503,malpedia.json
Gustuff,,malware,"Group-IB describes Gustuff as a mobile Android Trojan, which includes potential targets of customers in leading international banks, users of cryptocurrency services, popular ecommerce websites and marketplaces. Gustuff has previously never been reported. Gustuff is a new generation of malware complete with fully automated features designed to steal both fiat and crypto currency from user accounts en masse. The Trojan uses the Accessibility Service, intended to assist people with disabilities.
",a5e2b65f-2087-465d-bf14-4acf891d5d0f,malpedia.json
HARDRAIN (Android),,malware,,0caf0292-b01a-4439-b56f-c75b71900bc0,malpedia.json
HawkShaw,,malware,,5ae490bd-84ca-434f-ab34-b87bd38e4523,malpedia.json
HenBox,,malware,,0185f9f6-018e-4eb5-a214-d810cb759a38,malpedia.json
Hermit,,malware,"Lookout states that Hermit is an advanced spyware designed to target iOS and Android mobile devices. It is designed to collect extensive amounts of sensitive data on its victims such as their location, contacts, private messages, photos, call logs, phone conversations, ambient audio recordings, and more.",b95f25a0-ba22-4320-95e3-323fbf852846,malpedia.json
HeroRAT,,malware,,537f17ac-74e5-440b-8659-d4fdb4af41a6,malpedia.json
HiddenAd,,malware,HiddenAd is a malware that shows ads as overlays on the phone.,171c97ca-6b61-426d-8f72-c099528625e9,malpedia.json
HilalRAT,,malware,"RAT, which can be used to extract sensitive information, e.g. contact lists, txt messages, location information.",96bea6aa-3202-4352-8e36-fa05c677c0e8,malpedia.json
Hook,,malware,"According to ThreatFabric, this is a malware family based on apk.ermac. The name hook is the self-advertised named by its vendor DukeEugene. It provides WebSocket communication and has RAT capabilities.",c101bc42-1011-43f6-9d30-629013c318cd,malpedia.json
Hydra,,malware,"Avira states that Hydra is an Android BankBot variant, a type of malware designed to steal banking credentials. The way it does this is by requesting the user enables dangerous permissions such as accessibility and every time the banking app is opened, the malware is hijacking the user by overwriting the legit banking application login page with a malicious one. The goal is the same, to trick the user to enter his login credentials so that it will go straight to the malware authors.",ae25953d-cf7c-4304-9ea2-2ea1498ea035,malpedia.json
IPStorm (Android),InterPlanetary Storm,malware,Android variant of IPStorm (InterPlanetary Storm).,dc0c8824-64ac-4ab2-a0e4-955a14ecc59c,malpedia.json
IRATA,,malware,"According to redpiranha, IRATA (Iranian Remote Access Trojan) Android Malware is a new malware detected in the wild. It originates from a phishing attack through SMS. The theme of the message resembles information coming from the government that will ask you to download this malicious application. IRATA can collect sensitive information from your mobile phone including bank details. Since it infects your mobile, it can also gather your SMS messages which then can be used to obtain 2FA tokens.",24fb43b4-d6a6-49c0-a862-4211a245b635,malpedia.json
IRRat,,malware,,3e7c6e8c-46fc-4498-a28d-5b3d144c51cf,malpedia.json
JadeRAT,,malware,,8804e02c-a139-4c3d-8901-03302ca1faa0,malpedia.json
Joker,Bread,malware,"Joker is one of the most well-known malware families on Android devices. It manages to take advantage of Google’s official app store with the help of its trail signatures which includes updating the virus’s code, execution process, and payload-retrieval techniques. This malware is capable of stealing users’ personal information including contact details, device data, WAP services, and SMS messages.",aa2ad8f4-3c46-4f16-994b-2a79c7481cac,malpedia.json
KevDroid,,malware,,1e1924b5-89cb-408b-bcee-d6aaef7b24e0,malpedia.json
Kimwolf,,malware,"KIMWOLF is an android based malware which uses compromised systems to relay malicious and abusive Internet traffic, as well as participating in distributed denial-of-service (DDoS). KIMWOLF primarily infects unofficial Android-TV set-top boxes and digital photo frames. The malware has frequently been noted to achieve infection spread via abusing Android Debug Bridge (ADB) and residential proxies. There are multiple reports suggesting a connection to the Aisuru botnet, with Kimwolf acting as the ",e2ca108a-3d4b-4988-bdac-e79038ced814,malpedia.json
KnSpy,,malware,,084ebca7-91da-4d9c-8211-a18f358ac28b,malpedia.json
Koler,,malware,,4ff34778-de4b-4f48-9184-4975c8ccc3f3,malpedia.json
Konni (Android),,malware,,d4f90ffc-72cb-49a5-b796-527785f49161,malpedia.json
KoSpy,,malware,"According to Lookout, this spyware was first observed in March 2022 and remains active with new samples still publicly hosted. It uses a two-stage C2 infrastructure that retrieves initial configurations from a Firebase cloud database. KoSpy can collect extensive data, such as SMS messages, call logs, location, files, audio, and screenshots via dynamically loaded plugins. The spyware has Korean language support with samples distributed across Google Play and third-party app stores such as Apkpure",b7a1499f-b5fb-4b1f-a2ec-f7907faa506b,malpedia.json
KSREMOTE,,malware,,196d51bf-cf97-455d-b997-fc3e377f2188,malpedia.json
LANDFALL,,malware,,f5c4095f-d1c5-4026-8fc0-946f0575cd7f,malpedia.json
LittleLooter,,malware,,41cb4397-7ae0-4a9f-894f-47828e768aa9,malpedia.json
Loki,,malware,,a6f481fe-b6db-4507-bb3c-28f10d800e2f,malpedia.json
LokiBot,,malware,"Android banker Trojan with the standard banking capabilities such as overlays, SMS stealing. It also features ransomware functionality. Note, the network traffic is obfuscated the same way as in Android Bankbot.",4793a29b-1191-4750-810e-9301a6576fc4,malpedia.json
LuckyCat,,malware,,1785a4dd-4044-4405-91c2-efb722801867,malpedia.json
LunaSpy,Backdoor.916,malware,,259eb95e-f622-40d2-b6e0-79d07035fef5,malpedia.json
Mandrake,,malware,,0f587654-7f70-43be-9f1f-95e3a2cc2014,malpedia.json
Marcher,ExoBot,malware,,f691663a-b360-4c0d-a4ee-e9203139c38e,malpedia.json
MasterFred,Brox,malware,"According to heimdal,  MasterFred malware, this is designed as an Android trojan that makes use of false login overlays to target not only Netflix, Instagram, and Twitter users, but also bank customers. The hackers’ goal is to steal credit card information.",87131ea3-4c5e-42ba-a8e2-edd62a0bcd8d,malpedia.json
MazarBot,,malware,,38cbdc29-a5af-46ae-ab82-baf3f6999826,malpedia.json
Medusa (Android),Gorgona,malware,"According to ThreatFabric, this is an Android banking trojan under active development as of July 2020. It is using TCP for C&C communication and targets Turkish banks.",f155e529-dbea-4e4d-9df3-518401191c82,malpedia.json
Meterpreter (Android),,malware,,e1ae3e4e-5aaf-4ffe-ba2f-7871507f6d52,malpedia.json
MobileOrder,,malware,"Check Point has identified samples of this spyware being distributed since 2015. No samples were found on Google Play, meaning they were likely through other channels like social engineering.",ee19588f-9752-4516-85f4-de18acfc64b3,malpedia.json
Monokle,,malware,"Monokle is a sophisticated mobile surveillanceware that possesses remote access trojan (RAT) functionality, advanced data exfiltration techniques as well as the ability to install an attacker-specified certificate to the trusted certificates on an infected device that would allow for man-in-the-middle (MITM) attacks.
According to Lookout researchers, It is believed to be developed by Special Technology Center (STC), which is a Russian defense contractor sanctioned by the U.S. Government in conn",739d6d22-b187-4754-9098-22625ea612cc,malpedia.json
